group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
encode,medium_64k_4G,vu64,24972.4,25175.6,25348.3,25518.8,25614.7,25014.3,141.0,24995.4,25034.4,105.4,0.0056,24767.0,25629.7
encode,large_above_4G,bijou64,13766.4,14323.1,16134.0,20812.7,22816.5,14117.2,1319.6,13949.7,14313.5,195.0,0.0935,13574.4,22830.0
encode,large_above_4G,leb128,34520.3,35477.0,36214.2,40718.8,43211.0,34781.8,1141.3,34637.0,34950.0,528.3,0.0328,33783.5,43572.2
encode,large_above_4G,varu64,28780.5,33776.8,36823.9,44287.6,48412.8,30048.6,3365.2,29608.1,30537.3,1527.3,0.1120,27601.0,48872.9
encode,large_above_4G,vu128,26342.0,26567.3,26680.2,27701.5,28078.2,26359.0,584.9,26265.4,26422.2,144.5,0.0222,18800.7,28169.9
encode,large_above_4G,vu64,34806.4,35266.9,35567.1,36074.4,36809.3,34918.5,313.9,34877.4,34963.7,193.5,0.0090,34496.1,36867.4
encode,boundary,bijou64,12815.1,13332.9,13604.7,17167.3,20572.1,13014.3,865.6,12909.4,13146.6,212.3,0.0665,12447.9,20857.3
encode,boundary,leb128,14033.6,14546.9,14930.4,17193.7,18875.2,14195.3,646.5,14113.0,14291.0,288.1,0.0455,13752.6,19273.7
encode,boundary,varu64,23594.4,24240.0,24653.4,25765.3,29081.4,23754.1,653.0,23671.5,23851.8,411.6,0.0275,23076.6,29347.0
encode,boundary,vu128,21887.8,22124.9,22168.1,24113.8,24994.4,21964.3,366.3,21919.7,22020.5,109.2,0.0167,21639.6,25000.8
encode,boundary,vu64,27024.9,27260.4,27877.2,30915.3,31982.5,27197.9,721.6,27107.1,27305.8,97.4,0.0265,26778.7,32170.3
encode,uniform_random,bijou64,13807.8,14551.1,15203.8,16927.1,17151.3,14003.5,588.2,13927.1,14089.0,280.2,0.0420,13589.8,17197.8
encode,uniform_random,leb128,34173.1,36383.7,38966.8,42091.3,44009.2,34759.2,1696.2,34537.8,35007.0,569.3,0.0488,33590.1,44435.6
encode,uniform_random,varu64,28457.2,30436.4,32631.9,34577.0,36695.9,28941.5,1424.2,28755.8,29147.2,482.0,0.0492,27737.7,37177.1
encode,uniform_random,vu128,26393.2,26584.7,26809.6,27770.7,29161.4,26433.3,626.5,26334.8,26506.9,106.1,0.0237,18809.2,29472.9
encode,uniform_random,vu64,34918.5,35177.5,35437.0,36662.1,38244.0,35020.1,421.8,34966.8,35083.2,173.1,0.0120,34605.8,38376.7
encode_array,tiny_0_247,bijou64,1799.0,1905.3,2024.4,2289.3,2498.8,1832.6,109.3,1818.5,1848.6,27.9,0.0596,1769.2,2514.2
encode_array,tiny_0_247,varu64,4518.2,7137.5,7158.2,7356.3,7511.9,5442.4,1267.6,5269.4,5619.0,2626.4,0.2329,4458.7,7522.7
encode_array,tiny_0_247,vu128,3125.0,3278.0,3583.1,4680.5,4788.8,3189.2,242.0,3158.7,3225.3,29.1,0.0759,3091.0,4793.9
encode_array,tiny_0_247,vu64,4485.5,4744.2,4870.0,5338.2,5406.8,4554.0,170.2,4531.4,4578.7,139.8,0.0374,4419.7,5419.7
